School_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (COUNCIL),OTHERS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),STUDENT LEADERSHIP (PEER SUPPORT),OTHERS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),SWIMMING,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),TABLE TENNIS,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),TAEKWONDO,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),TRACK AND FIELD,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),VOLLEYBALL,PHYSICAL SPORTS,
DEYI SECONDARY SCHOOL,SECONDARY (S1-S5),WUSHU,PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),BASKETBALL,PHYSICAL SPORTS,BASKETBALL
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),CHOIR,VISUAL AND PERFORMING ARTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),CONCERT BAND,VISUAL AND PERFORMING ARTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),FLOORBALL,PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),FOOTBALL,PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,NEW MEDIA CLUB
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),MODERN DANCE,VISUAL AND PERFORMING ARTS,INTERNATIONAL DANCE
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL CADET CORPS (LAND),UNIFORMED GROUPS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),SCOUTS,UNIFORMED GROUPS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),SOFTBALL,PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (ATHLETICS),PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),SP-CCA (WATER POLO),PHYSICAL SPORTS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),ST JOHN BRIGADE,UNIFORMED GROUPS,
DUNEARN SECONDARY SCHOOL,SECONDARY (S1-S5),TABLE TENNIS,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ART AND CRAFTS,CLUBS AND SOCIETIES,ART CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),BADMINTON,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),BASKETBALL,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),BIOLOGICAL SCIENCE,CLUBS AND SOCIETIES,MEDICAL SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),BOWLING,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE CALLIGRAPHY AND BRUSH PAINTING,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE DANCE,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE DRAMA,VISUAL AND PERFORMING ARTS,CHINESE SOCIETY (DRAMA)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),"CHINESE LANGUAGE, DRAMA AND DEBATING",CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE WEIQI,CLUBS AND SOCIETIES,INTERNATIONAL CHESS
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHINESE WEIQI,CLUBS AND SOCIETIES,MIND SPORTS CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CHOIR,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CIVIL DEFENCE,CLUBS AND SOCIETIES,UNIFORMED GROUP COUNCIL
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),COMMUNITY SERVICE,CLUBS AND SOCIETIES,COMMUNITY COUNCIL
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CONCERT BAND,VISUAL AND PERFORMING ARTS,SYMPHONIC BAND
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),CROSS COUNTRY,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),DEBATING AND PUBLIC SPEAKING,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),DEBATING AND PUBLIC SPEAKING,CLUBS AND SOCIETIES,ORATORICAL SOCIETY (DEBATE)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ENGLISH CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ENGLISH DRAMA,VISUAL AND PERFORMING ARTS,THEATRE ARTS
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ENTREPRENEURSHIP,CLUBS AND SOCIETIES,YOUTH CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),FOOD AND CONSUMER EDUCATION,CLUBS AND SOCIETIES,FOOD AND FASHION
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),FOOTBALL,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),FOREIGN CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,YUKATA JAPANESE CULTURAL CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),FRISBEE,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),GIRL GUIDES,UNIFORMED GROUPS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),GOLF,PHYSICAL SPORTS,GOLF
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),GUITAR ENSEMBLE,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),GUZHENG ENSEMBLE,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),HISTORY,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),INDIAN CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),INFOCOMM TECHNOLOGY (COMPUTING),CLUBS AND SOCIETIES,STEAM COLLECTIVE (INFOCOMM CHAPTER)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),CLUBS AND SOCIETIES,MASS COMMUNICATIONS SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),INTERNATIONAL AND GLOBAL STUDIES,CLUBS AND SOCIETIES,INTERNATIONAL AND STRATEGIC AFFAIRS COUNCIL
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),LION AND DRAGON DANCE,CLUBS AND SOCIETIES,LION DANCE
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),LION AND DRAGON DANCE,CLUBS AND SOCIETIES,LION DANCE(BOYS)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MALAY CULTURE AND LANGUAGE,CLUBS AND SOCIETIES,MALAY CULTURAL CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MATHEMATICS,CLUBS AND SOCIETIES,STEAM COLLECTIVE (MATHEMATICS CHAPTER)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MEDIA RESOURCE LIBRARY,CLUBS AND SOCIETIES,LIBRARY SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MODERN DANCE,VISUAL AND PERFORMING ARTS,DANCE SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MODERN DANCE,VISUAL AND PERFORMING ARTS,MODERN DANCE(GIRLS)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),MODULAR CCA (C&S),CLUBS AND SOCIETIES,STEAM COLLECTIVE
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),NATIONAL EDUCATION,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),NATIONAL POLICE CADET CORPS,UNIFORMED GROUPS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),NETBALL,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),OPERA/OPERATTA,VISUAL AND PERFORMING ARTS,BEIJING OPERA
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),OUTDOOR ADVENTURE,PHYSICAL SPORTS,OUTDOOR ADVENTURE CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),PHOTOGRAPHY,CLUBS AND SOCIETIES,PHOTOGRAPHY SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),PHYSICAL SCIENCE,CLUBS AND SOCIETIES,STEAM COLLECTIVE (SCIENCE CHAPTER)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),PUBLICATION,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),READING AND WRITING,CLUBS AND SOCIETIES,LAW SOCIETY
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ROBOTICS,CLUBS AND SOCIETIES,STEAM COLLECTIVE (ROBOTICS CHAPTER)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SAILING,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SCOUTS,UNIFORMED GROUPS,SCOUTS(BOYS)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SCOUTS,UNIFORMED GROUPS,VENTURES AND ROVERS
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SHOOTING,PHYSICAL SPORTS,AIR WEAPON CLUB
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SINGAPORE NATIONAL YOUTH CHINESE ORCHESTRA,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SINGAPORE NATIONAL YOUTH ORCHESTRA,VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SINGAPORE YOUTH FLYING CLUB,CLUBS AND SOCIETIES,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SOFTBALL,PHYSICAL SPORTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SP-CCA (CANOEING),PHYSICAL SPORTS,SP-CCA (CANOEING)
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),SP-CCA (ETHNIC DANCE),VISUAL AND PERFORMING ARTS,
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),ST JOHN BRIGADE,UNIFORMED GROUPS,ST JOHN BRIGADE
DUNMAN HIGH SCHOOL,MIXED LEVEL (S1-JC2),STRING ENSEMBLE,VISUAL AND PERFORMING ARTS,
